timestamp,right_x,right_y,left_x,left_y,head_x,head_y
0,80.388145,5.703966,79.990311,5.295833,68.117699,174.168594
0.016666667,80.401329,5.77166,79.952141,5.251122,67.896553,174.186188
0.033333333,80.403717,5.931589,79.917343,5.20464,67.682274,174.212097
0.05,80.399178,6.177085,79.90834,5.172005,67.465469,174.254318
0.066666667,80.366829,6.568321,79.923592,5.140747,67.20517,174.328903
0.083333333,80.268364,7.02687,79.930038,5.11891,66.964653,174.41394
0.1,80.086189,7.618165,79.930977,5.105261,66.702354,174.510681
0.116666667,79.802849,8.332295,79.931923,5.097955,66.423103,174.608154
0.133333333,79.447182,9.079734,79.940491,5.097856,66.15519,174.692566
0.15,79.008888,9.887321,79.956757,5.098324,65.87262,174.774918
0.166666667,78.382591,10.825705,79.973488,5.099199,65.530647,174.87146
0.183333333,77.657097,11.616991,79.981979,5.100322,65.212593,174.96019
0.2,76.607895,12.347855,79.992813,5.102642,64.846489,175.053543
0.216666667,75.271782,12.86749,80.008408,5.110391,64.449783,175.131058
0.233333333,73.776604,13.170317,80.026344,5.118638,64.035133,175.189484
0.25,71.812218,13.309308,80.043411,5.124286,63.576839,175.226852
0.266666667,69.823128,13.251685,80.054626,5.125517,63.123753,175.241699
0.283333333,67.654099,13.070735,80.063507,5.126297,62.654888,175.239044
0.3,65.210327,12.791887,80.072342,5.126533,62.137646,175.217636
0.316666667,62.582161,12.451727,80.077568,5.12298,61.577225,175.170319
0.333333333,60.132839,12.130593,80.080887,5.112098,61.003822,175.10144
0.35,57.465931,11.800479,80.084557,5.093702,60.375469,175.001343
0.366666667,54.652515,11.495994,80.093323,5.076711,59.763977,174.886124
0.383333333,52.209023,11.27994,80.091583,5.056407,59.128948,174.750443
0.4,49.801662,11.108005,80.078979,5.030089,58.445301,174.594055
0.416666667,47.478577,10.960833,80.066635,5.000364,57.710381,174.413269
0.433333333,45.515278,10.815366,80.063454,4.974464,57.006702,174.229828
0.45,43.55381,10.630329,80.070641,4.945489,56.191944,173.999329
0.466666667,42.032539,10.438626,80.079704,4.924294,55.432438,173.777359
0.483333333,40.755375,10.204704,80.082779,4.908432,54.664207,173.551788
0.5,39.691776,9.88416,80.084625,4.894692,53.820591,173.309128
0.516666667,38.952187,9.460258,80.092064,4.880394,52.946053,173.05632
0.533333333,38.542236,8.977631,80.099968,4.866899,52.11845,172.813568
0.55,38.329098,8.343987,80.120598,4.85058,51.175407,172.520676
0.566666667,38.264446,7.72268,80.159081,4.836329,50.297508,172.242615
0.583333333,38.072285,7.247233,80.209961,4.828866,49.425549,171.981857
0.6,37.503658,7.011816,80.269646,4.839677,48.505295,171.763672
0.616666667,36.789604,6.851428,80.305565,4.877384,47.527565,171.607712
0.633333333,36.412285,6.652532,80.296371,4.934315,46.595398,171.502716
0.65,36.247265,6.469491,80.296776,5.029134,45.734509,171.413818
0.666666667,36.121986,6.326378,80.316109,5.246452,44.730576,171.341522
0.683333333,36.072807,6.196224,80.324562,5.570198,43.848923,171.337936
0.7,36.005264,6.07436,80.272659,6.06739,42.928188,171.410385
0.716666667,35.929905,5.984414,80.054779,6.774256,41.997299,171.570816
0.733333333,35.923351,5.919524,79.667175,7.604811,41.233673,171.759216
0.75,35.928238,5.88254,79.226189,8.425983,40.369423,172.012512
0.766666667,35.932549,5.846236,78.373817,9.75292,39.572449,172.269226
0.783333333,35.938969,5.827111,77.473953,10.833372,38.767029,172.543686
0.8,35.968449,5.811083,76.277649,11.933073,38.039036,172.803345
0.816666667,36.020573,5.799854,74.803696,13.005113,37.344631,173.060104
0.833333333,36.065044,5.795584,73.222725,14.003951,36.61731,173.336487
0.85,36.090389,5.795347,71.558296,14.91243,35.891575,173.614853
0.866666667,36.116745,5.796143,69.473404,15.80341,35.191235,173.886261
0.883333333,36.155708,5.801772,67.523537,16.432026,34.470387,174.155609
0.9,36.211105,5.808867,65.26619,16.978319,33.799206,174.383453
0.916666667,36.260536,5.813791,62.803894,17.411234,33.141891,174.573654
0.933333333,36.294083,5.814662,60.489536,17.702354,32.408379,174.750122
0.95,36.317978,5.814956,57.741245,17.905525,31.757706,174.884842
0.966666667,36.340317,5.814799,55.176235,17.953222,31.068462,175.011642
0.983333333,36.369934,5.814322,52.642185,17.894087,30.366817,175.11644
1,36.394379,5.812298,49.868378,17.746954,29.696171,175.194092
1.016666667,36.412609,5.801126,46.967167,17.518026,29.029106,175.253311
1.033333333,36.424652,5.78952,44.23827,17.265011,28.264503,175.304291
1.05,36.434685,5.776928,41.065613,16.938848,27.577435,175.341583
1.066666667,36.446068,5.764026,38.155621,16.583979,26.853586,175.372025
1.083333333,36.454159,5.753742,35.31036,16.20574,26.10932,175.388016
1.1,36.460136,5.740395,32.18494,15.774799,25.37776,175.388412
1.116666667,36.463848,5.725544,29.02215,15.332877,24.656492,175.376862
1.133333333,36.467422,5.708903,26.106512,14.930161,23.873888,175.346466
1.15,36.470028,5.690454,22.858627,14.498095,23.057938,175.298004
1.166666667,36.478077,5.675794,19.920862,14.120308,22.252899,175.235916
1.183333333,36.489456,5.660265,17.05566,13.76188,21.392717,175.15451
1.2,36.502377,5.639532,14.102775,13.403615,20.571634,175.062805
1.216666667,36.512665,5.616148,11.159779,13.060156,19.770334,174.9617
1.233333333,36.518383,5.595345,8.492665,12.762548,18.878984,174.832809
1.25,36.522106,5.575637,5.635332,12.457371,17.953991,174.682693
1.266666667,36.523678,5.555253,3.167504,12.212463,17.057613,174.522552
1.283333333,36.525082,5.539835,0.960936,12.01207,16.047907,174.327576
1.3,36.52993,5.528061,-1.18784,11.814391,15.095108,174.13504
1.316666667,36.542133,5.518872,-3.169276,11.610683,14.163764,173.942627
1.333333333,36.548565,5.511137,-4.851878,11.39674,13.118334,173.721802
1.35,36.550751,5.504495,-6.335058,11.157248,12.016287,173.478134
1.366666667,36.551807,5.504024,-7.78752,10.832671,10.950032,173.229446
1.383333333,36.552677,5.503861,-8.828997,10.494135,9.827371,172.960419
1.4,36.553696,5.504102,-9.732027,10.067319,8.85511,172.725677
1.416666667,36.555214,5.504839,-10.395049,9.555995,7.564848,172.409943
1.433333333,36.563995,5.508484,-10.809188,8.996468,6.453219,172.138748
1.45,36.576469,5.523598,-11.023591,8.293189,5.357024,171.875351
1.466666667,36.587605,5.548084,-11.025746,7.606505,4.191841,171.598328
1.483333333,36.585526,5.591761,-11.101143,6.989149,3.174748,171.367004
1.5,36.563389,5.687841,-11.542172,6.595071,2.028876,171.152771
1.516666667,36.508369,5.862345,-12.209841,6.399827,0.859232,171.034225
1.533333333,36.418476,6.113136,-12.654584,6.230531,-0.245171,171.020081
1.55,36.269394,6.511015,-12.938733,6.137436,-1.480956,171.079987
1.566666667,36.080006,7.004219,-12.940676,6.04343,-2.591058,171.179626
1.583333333,35.810223,7.622792,-12.824492,5.886948,-3.672134,171.309555
1.6,35.32362,8.515534,-12.759224,5.730179,-4.899602,171.508621
1.616666667,34.701424,9.437716,-12.770846,5.666445,-5.951087,171.72438
1.633333333,33.843128,10.503462,-12.810226,5.621107,-7.03319,171.969315
1.65,32.919018,11.534033,-12.801074,5.57235,-8.13979,172.214966
1.666666667,31.672976,12.80509,-12.77354,5.537073,-9.133078,172.421371
1.683333333,30.430088,13.898773,-12.765716,5.505594,-10.116981,172.619263
1.7,28.862028,14.955285,-12.758036,5.472333,-11.13407,172.83519
1.716666667,26.985241,15.928166,-12.728277,5.442928,-12.157889,173.063614
1.733333333,25.068268,16.728971,-12.676762,5.4159,-13.117001,173.276825
1.75,22.726437,17.431679,-12.624323,5.388602,-14.176738,173.496643
1.766666667,20.437159,17.852163,-12.593936,5.364123,-15.108747,173.666458
1.783333333,18.047115,18.0732,-12.570451,5.338852,-16.007196,173.808289
1.8,15.306282,18.08548,-12.539442,5.310861,-16.963495,173.936539
1.816666667,12.334281,17.884174,-12.516636,5.282888,-17.935686,174.046097
1.833333333,9.324819,17.522867,-12.505357,5.255318,-18.864897,174.128204
1.85,6.03898,17.002283,-12.495379,5.226605,-19.825409,174.192459
1.866666667,2.86937,16.428257,-12.479031,5.202734,-20.715633,174.233002
1.883333333,-0.33042,15.812367,-12.45847,5.180539,-21.591578,174.260391
1.9,-3.843935,15.12458,-12.435339,5.156683,-22.535032,174.275787
1.916666667,-7.510518,14.429052,-12.409599,5.140234,-23.499241,174.278824
1.933333333,-11.091351,13.786672,-12.373307,5.134072,-24.439375,174.278671
1.95,-14.827303,13.170242,-12.336536,5.131399,-25.415838,174.270248
1.966666667,-18.309767,12.654789,-12.321999,5.129219,-26.329954,174.253174
1.983333333,-22.096651,12.163225,-12.309798,5.133962,-27.332756,174.222443
2,-25.3929,11.798161,-12.295051,5.144435,-28.218073,174.186005
2.016666667,-29.0634,11.470681,-12.281857,5.158604,-29.240294,174.133774
2.033333333,-32.330986,11.24971,-12.286939,5.182626,-30.176926,174.08403
2.05,-35.859581,11.081018,-12.296813,5.22079,-31.232656,174.026611
2.066666667,-38.892365,10.991624,-12.298421,5.258357,-32.192554,173.973404
2.083333333,-41.743061,10.94715,-12.299146,5.298007,-33.150623,173.915314
2.1,-44.622387,10.93808,-12.300259,5.344003,-34.166779,173.845825
2.116666667,-47.360748,10.948593,-12.306627,5.399525,-35.220596,173.763702
2.133333333,-49.666927,10.957965,-12.316295,5.457216,-36.201256,173.677277
2.15,-51.762436,10.951692,-12.328057,5.521698,-37.177788,173.580917
2.166666667,-53.878746,10.901023,-12.341459,5.603621,-38.304863,173.452133
2.183333333,-55.459526,10.807793,-12.350046,5.670016,-39.273956,173.32193
2.2,-56.896858,10.641417,-12.356387,5.739008,-40.324936,173.164062
2.216666667,-58.030251,10.359787,-12.366573,5.817264,-41.266045,173.009293
2.233333333,-58.799313,9.979666,-12.379706,5.899653,-42.384792,172.807739
2.25,-59.336178,9.423446,-12.397438,6.000226,-43.476624,172.589615
2.266666667,-59.528324,8.815824,-12.405692,6.089213,-44.392185,172.392853
2.283333333,-59.598709,8.171368,-12.417738,6.198162,-45.451557,172.153244
2.3,-59.797211,7.696801,-12.440294,6.318838,-46.449596,171.943817
2.316666667,-60.730247,7.594103,-12.493273,6.509722,-47.436024,171.809494
2.333333333,-61.773708,7.512367,-12.5926,6.758423,-48.587555,171.771042
2.35,-62.353619,7.253492,-12.776708,7.1319,-49.599781,171.789825
2.366666667,-62.406773,7.055066,-13.031035,7.616234,-50.663071,171.832092
2.383333333,-62.45612,6.954891,-13.398494,8.262547,-51.725487,171.935745
2.4,-62.453808,6.858262,-13.969995,9.178825,-52.730747,172.103851
2.416666667,-62.468605,6.76318,-14.799353,10.32329,-53.668144,172.296906
2.433333333,-62.555408,6.695635,-15.892735,11.513662,-54.615662,172.491089
2.45,-62.602085,6.627532,-17.289394,12.765245,-55.543423,172.653061
2.466666667,-62.588459,6.570182,-18.72493,13.96643,-56.402138,172.803696
2.483333333,-62.564865,6.541369,-20.331966,15.098186,-57.249329,172.995209
2.5,-62.546394,6.511566,-22.321844,16.221603,-58.070335,173.214142
2.516666667,-62.525089,6.486522,-24.559216,17.168247,-58.868633,173.442596
2.533333333,-62.498241,6.471516,-26.834452,17.883783,-59.697685,173.677261
2.55,-62.46627,6.462066,-29.237617,18.420586,-60.531231,173.898987
2.566666667,-62.435493,6.454474,-32.123951,18.823704,-61.313507,174.101746
2.583333333,-62.410698,6.449063,-34.792564,19.044851,-62.109375,174.309174
2.6,-62.379234,6.445066,-37.734848,19.138935,-62.831329,174.493561
2.616666667,-62.347382,6.441712,-40.812309,19.085501,-63.528313,174.661606
2.633333333,-62.317936,6.436882,-43.58316,18.946432,-64.31282,174.831879
2.65,-62.284672,6.431673,-47.016457,18.669485,-65.001122,174.965164
2.666666667,-62.25872,6.424077,-49.911953,18.378294,-65.7071,175.091599
2.683333333,-62.240322,6.415922,-52.736408,18.06024,-66.427277,175.211243
2.7,-62.232529,6.40671,-55.656479,17.697582,-67.105293,175.310608
2.716666667,-62.220676,6.397155,-58.563,17.311996,-67.7799,175.395126
2.733333333,-62.205952,6.389103,-61.297638,16.932758,-68.544006,175.477676
2.75,-62.185665,6.384174,-64.061417,16.534752,-69.204674,175.541901
2.766666667,-62.169231,6.379958,-66.634377,16.152969,-69.901947,175.608398
2.783333333,-62.150356,6.375763,-69.157509,15.756536,-70.612564,175.673996
2.8,-62.132381,6.371161,-71.854904,15.303667,-71.296143,175.733383
2.816666667,-62.116165,6.363477,-74.563591,14.8262,-71.957878,175.784134
2.833333333,-62.098526,6.357306,-77.088783,14.377743,-72.65699,175.829269
2.85,-62.081459,6.351799,-79.529404,13.940023,-73.379105,175.864563
2.866666667,-62.076187,6.340331,-82.19416,13.453362,-74.051254,175.883713
2.883333333,-62.077641,6.326304,-84.40715,13.045685,-74.822235,175.892334
2.9,-62.07769,6.309655,-86.671158,12.632332,-75.476868,175.886429
2.916666667,-62.07756,6.293326,-88.526451,12.296356,-76.257774,175.86554
2.933333333,-62.077381,6.274983,-90.21978,11.979574,-76.979515,175.828781
2.95,-62.07729,6.254517,-91.929161,11.62195,-77.71727,175.774658
2.966666667,-62.07745,6.233976,-93.193069,11.284471,-78.524277,175.693222
2.983333333,-62.078217,6.21353,-94.32338,10.831453,-79.343323,175.578537
3,-62.078968,6.189259,-95.011703,10.325132,-80.142395,175.435669
3.016666667,-62.078785,6.165624,-95.409485,9.73985,-80.941856,175.264938
3.033333333,-62.07093,6.13774,-95.529472,9.035115,-81.783516,175.054749
3.05,-62.049953,6.112947,-95.56813,8.338917,-82.680046,174.809677
3.066666667,-62.026165,6.101421,-95.81646,7.966236,-83.513062,174.604767
3.083333333,-61.996872,6.121228,-96.250854,7.83574,-84.474808,174.47316
3.1,-61.980156,6.155821,-96.568794,7.718816,-85.391678,174.454071
3.116666667,-61.972813,6.19395,-96.790024,7.596342,-86.331451,174.469711
3.133333333,-61.968628,6.247493,-96.873871,7.460169,-87.306252,174.458572
3.15,-61.982967,6.336166,-96.948189,7.311161,-88.308174,174.408188
3.166666667,-62.007751,6.475874,-97.069023,7.1965,-89.260498,174.369995
3.183333333,-62.035755,6.683619,-97.148361,7.101478,-90.188126,174.362656
3.2,-62.077221,6.992128,-97.169579,7.015239,-91.180107,174.393814
3.216666667,-62.150894,7.379674,-97.183434,6.946746,-92.164177,174.453644
3.233333333,-62.258812,7.788104,-97.222481,6.893554,-93.092865,174.515015
3.25,-62.402184,8.274821,-97.287437,6.84377,-94.106796,174.586075
3.266666667,-62.588821,8.8389,-97.313515,6.807102,-94.989517,174.650879
3.283333333,-62.783508,9.329825,-97.318153,6.77144,-95.853447,174.711227
3.3,-63.061146,9.807432,-97.33371,6.730852,-96.701859,174.761383
3.316666667,-63.501812,10.232263,-97.35685,6.685787,-97.552116,174.808029
3.333333333,-63.975529,10.562238,-97.356613,6.659031,-98.281311,174.850601
3.35,-64.639053,10.872376,-97.349075,6.647648,-99.065765,174.910019
3.366666667,-65.320274,11.06673,-97.3246,6.632251,-99.743324,174.986374
3.383333333,-66.153389,11.203253,-97.296318,6.609451,-100.393539,175.068161
3.4,-67.050941,11.256805,-97.274376,6.582622,-101.03051,175.142563
3.416666667,-68.037544,11.238123,-97.263763,6.5489,-101.657387,175.20578
3.433333333,-68.993172,11.168909,-97.258217,6.513839,-102.20742,175.252533
3.45,-69.959946,11.061811,-97.241371,6.482453,-102.719147,175.28775
3.466666667,-70.97374,10.91988,-97.223419,6.451921,-103.222054,175.317352
3.483333333,-71.962692,10.769478,-97.22612,6.418484,-103.703987,175.337906
3.5,-72.809441,10.630101,-97.240685,6.389185,-104.108284,175.338287
3.516666667,-73.557663,10.494513,-97.257011,6.357224,-104.475662,175.327103
3.533333333,-74.302307,10.350036,-97.280243,6.31789,-104.835915,175.299866
3.55,-74.876198,10.229071,-97.302597,6.286413,-105.098801,175.263641
3.566666667,-75.415184,10.105173,-97.3228,6.255637,-105.330124,175.216827
3.583333333,-75.912529,9.983057,-97.34243,6.225635,-105.522194,175.157898
3.6,-76.312241,9.882055,-97.363831,6.200985,-105.645805,175.099121
3.616666667,-76.648956,9.79683,-97.380356,6.177954,-105.724136,175.040268
3.633333333,-76.969193,9.715055,-97.396744,6.155221,-105.741196,174.982178
3.65,-77.242569,9.65831,-97.410072,6.141236,-105.698204,174.927765
3.666666667,-77.479881,9.622211,-97.424042,6.132765,-105.594688,174.8815
3.683333333,-77.747818,9.586375,-97.433372,6.124872,-105.443642,174.835678
3.7,-78.031929,9.549103,-97.438362,6.120239,-105.228439,174.797623
3.716666667,-78.352539,9.504524,-97.442749,6.118745,-104.97496,174.761703
